,年分,縣市,房貸負擔率(%),房貸負擔率(百分點)季變動值,房貸負擔率(百分點)年變動值,房價所得比(倍),房價所得比(倍)季變動值,房價所得比(倍)年變動值
0,2017,全國,38.9,0.86,1.76,9.46,0.23,0.49
1,2017,臺北市,64.29,0.39,1.9,15.64,0.12,0.57
2,2017,新北市,52.19,0.74,0.38,12.7,0.2,0.18
3,2017,臺中市,39.6,1.0,0.92,9.63,0.26,0.29
4,2017,新竹市,36.14,-0.4,3.71,8.79,-0.08,0.96
5,2017,新竹縣,35.93,0.92,1.35,8.74,0.24,0.39
6,2017,彰化縣,35.38,-0.78,1.93,8.61,-0.18,0.53
7,2017,高雄市,34.93,1.3,1.36,8.5,0.33,0.39
8,2017,桃園市,34.1,-0.85,0.12,8.3,-0.19,0.09
9,2017,宜蘭縣,34.06,-0.63,2.04,8.29,-0.14,0.55
10,2017,花蓮縣,33.8,2.22,1.12,8.22,0.55,0.33
11,2017,澎湖縣,33.39,-1.39,2.23,8.12,-0.32,0.6
12,2017,苗栗縣,33.03,1.27,5.51,8.03,0.32,1.39
13,2017,南投縣,32.76,1.45,3.33,7.97,0.37,0.86
14,2017,臺南市,31.14,0.79,0.77,7.58,0.2,0.24
15,2017,雲林縣,30.47,1.22,2.43,7.41,0.31,0.64
16,2017,臺東縣,30.25,0.88,3.0,7.36,0.23,0.78
17,2017,基隆市,24.16,0.78,1.44,5.88,0.2,0.39
18,2017,嘉義市,23.35,-1.58,0.32,5.68,-0.38,0.12
19,2017,屏東縣,23.01,0.12,-0.48,5.6,0.04,-0.07
20,2017,嘉義縣,22.83,-0.13,-0.21,5.55,-0.02,-0.01

