,年分,縣市,房貸負擔率(%),房貸負擔率(百分點)季變動值,房貸負擔率(百分點)年變動值,房價所得比(倍),房價所得比(倍)季變動值,房價所得比(倍)年變動值
0,2019,全國,36.06,0.53,-0.84,8.79,0.13,-0.21
1,2019,新北市,48.59,-0.77,-1.73,11.85,-0.18,-0.42
2,2019,臺北市,59.25,1.18,-2.31,14.45,0.3,-0.56
3,2019,桃園市,30.16,-0.17,-3.16,7.35,-0.04,-0.77
4,2019,臺中市,38.0,-1.97,-0.14,9.27,-0.48,-0.03
5,2019,臺南市,29.18,0.29,-0.35,7.12,0.08,-0.08
6,2019,高雄市,31.48,0.72,-1.08,7.68,0.18,-0.26
7,2019,宜蘭縣,29.97,-0.34,-2.96,7.31,-0.08,-0.72
8,2019,新竹縣,33.77,1.66,-0.54,8.24,0.41,-0.13
9,2019,苗栗縣,29.39,-0.4,-1.96,7.17,-0.09,-0.47
10,2019,彰化縣,36.68,2.46,2.14,8.95,0.6,0.53
11,2019,南投縣,33.14,0.64,1.42,8.08,0.16,0.35
12,2019,雲林縣,26.79,-1.93,-0.25,6.53,-0.47,-0.06
13,2019,嘉義縣,25.27,2.55,3.37,6.16,0.62,0.82
14,2019,屏東縣,22.21,-0.49,-1.15,5.42,-0.12,-0.28
15,2019,臺東縣,31.34,2.62,3.11,7.64,0.64,0.76
16,2019,花蓮縣,35.63,2.46,3.32,8.69,0.6,0.81
17,2019,澎湖縣,34.65,-1.11,4.06,8.45,-0.27,0.99
18,2019,基隆市,22.99,-0.4,1.41,5.61,-0.1,0.35
19,2019,新竹市,27.49,-0.85,-4.32,6.7,-0.2,-1.06
20,2019,嘉義市,21.35,-0.91,-1.64,5.21,-0.22,-0.4
