,年分,縣市,房貸負擔率(%),房貸負擔率(百分點)季變動值,房貸負擔率(百分點)年變動值,房價所得比(倍),房價所得比(倍)季變動值,房價所得比(倍)年變動值
0,2020,全國,34.64, -0.66,-1.42,8.66,0.04,-0.13
1,2020,新北市,46.04, -1.90,-2.55,11.51,-0.2,-0.34
2,2020,臺北市,57.57, 0.51,-1.68,14.39,0.45,-0.06
3,2020,桃園市,29.69, -0.92,-0.47,7.42,-0.05,0.07
4,2020,臺中市,38.41, -2.58,0.41,9.6,-0.41,0.33
5,2020,臺南市,29.18, -0.63,0.0,7.29,0.01,0.17
6,2020,高雄市,29.08, -0.75,-2.4,7.27,-0.01,-0.41
7,2020,宜蘭縣,32.97, 1.95 ,3.0,8.24,0.66,0.93
8,2020,新竹縣,32.19, 1.01 ,-1.58,8.05,0.43,-0.19
9,2020,苗栗縣,28.87, 1.55 ,-0.52,7.22,0.55,0.05
10,2020,彰化縣,34.65, 0.21 ,-2.03,8.66,0.25,-0.29
11,2020,南投縣,30.04, -4.00,-3.1,7.51,-0.8,-0.57
12,2020,雲林縣,29.61, 0.06,2.82,7.4,0.18,0.87
13,2020,嘉義縣,21.5, -2.95 ,-3.77,5.37,-0.6,-0.79
14,2020,屏東縣,22.27, 0.29 0.06,5.57,0.2,0.15,
15,2020,臺東縣,29.54, -1.36 ,-1.8,7.38,-0.17,-0.26
16,2020,花蓮縣,31.12, 1.80 ,-4.51,7.78,0.62,-0.91
17,2020,澎湖縣,27.92, -2.35,-6.73,6.98,-0.41,-1.47
18,2020,基隆市,22.94, -0.36 ,-0.05,5.73,0.04,0.12
19,2020,新竹市,27.05, -0.35 ,-0.44,6.76,0.07,0.06
20,2020,嘉義市,19.53, -0.04 ,-1.82,4.88,0.1,-0.33
